,header,line,caption,tag,normed,,
1995,p117b1,colaboración,11.7. Servicios sociales,CERE::b1::p117,colaboración,11.7. Social Services --- Collaboration, Collaboration
1996,p117b1,ofrecer una ayuda,11.7. Servicios sociales,CERE::b1::p117,a ofrecer una ayuda,11.7. Social Services --- To offer help, To offer help
1997,p118b1,baños públicos,11.8. Servicios de abastecimiento público,CERE::b1::p118,baños públicos,11.8. Public Supply Services --- Public Bathrooms, Public Bathrooms
1998,p118b1,aseos públicos,11.8. Servicios de abastecimiento público,CERE::b1::p118,aseos públicos,11.8. Public Supply Services --- Public toilets, Public toilets
1999,p118b1,W. C. (Water Closet),11.8. Servicios de abastecimiento público,CERE::b1::p118,W. C. (Water Closet),11.8. Public Supply Services --- W. C. (Water Closet), W. C. (Water Closet)
2000,p118b1,semáforo,11.8. Servicios de abastecimiento público,CERE::b1::p118,semáforo,11.8. Public supply services --- traffic light, traffic light
2001,p121b1,estar de oferta,"12.1. Lugares, personas y actividades",CERE::b1::p121,a estar de oferta,"12.1. Places, people and activities --- to be offer", to be offer
2002,p121b1,ir de rebajas,"12.1. Lugares, personas y actividades",CERE::b1::p121,a ir de rebajas,"12.1. Places, people and activities --- To go on sale", To go on sale
2003,p121b1,tener rebajas,"12.1. Lugares, personas y actividades",CERE::b1::p121,a tener rebajas,"12.1. Places, people and activities --- to have sales", to have sales
2004,p121b1,salir de rebajas,"12.1. Lugares, personas y actividades",CERE::b1::p121,a salir de rebajas,"12.1. PLACES, PEOPLE AND ACTIVITIES --- Get out of sales", Get out of sales
2005,p121b1,poner rebajas,"12.1. Lugares, personas y actividades",CERE::b1::p121,a poner rebajas,"12.1. Places, people and activities --- to put sales", to put sales
2006,p121b1,haber rebajas,"12.1. Lugares, personas y actividades",CERE::b1::p121,a haber rebajas,"12.1. Places, people and activities --- there are sales", there are sales
2007,p121b1,bajar el precio,"12.1. Lugares, personas y actividades",CERE::b1::p121,a bajar el precio,"12.1. Places, people and activities --- to lower the price", to lower the price
2008,p121b1,subir el precio,"12.1. Lugares, personas y actividades",CERE::b1::p121,a subir el precio,"12.1. Places, people and activities --- to upload the price", to upload the price
2009,p121b1,hacer un descuento,"12.1. Lugares, personas y actividades",CERE::b1::p121,a hacer un descuento,"12.1. Places, people and activities --- to make a discount", to make a discount
2010,p121b1,vender por Internet,"12.1. Lugares, personas y actividades",CERE::b1::p121,a vender por Internet,"12.1. Places, people and activities --- to sell online", to sell online
2011,p121b1,comprar por catálogo,"12.1. Lugares, personas y actividades",CERE::b1::p121,a comprar por catálogo,"12.1. Places, people and activities --- To buy by catalog", To buy by catalog
2012,p121b1,hacer un cambio,"12.1. Lugares, personas y actividades",CERE::b1::p121,a hacer un cambio,"12.1. Places, people and activities --- to make a change", to make a change
2013,p121b1,hacer una devolución,"12.1. Lugares, personas y actividades",CERE::b1::p121,a hacer una devolución,"12.1. Places, people and activities --- To make a return", To make a return
2014,p121b1,tener un descuento,"12.1. Lugares, personas y actividades",CERE::b1::p121,a tener un descuento,"12.1. Places, people and activities --- to have a discount", to have a discount
2015,p121b1,descuento,"12.1. Lugares, personas y actividades",CERE::b1::p121,descuento,"12.1. Places, people and activities --- discount", discount
2016,p121b1,oferta,"12.1. Lugares, personas y actividades",CERE::b1::p121,oferta,"12.1. Places, people and activities --- offer", offer
2017,p121b1,aparcamiento,"12.1. Lugares, personas y actividades",CERE::b1::p121,aparcamiento,"12.1. Places, people and activities --- parking", parking
2018,p121b1,escaleras mecánicas,"12.1. Lugares, personas y actividades",CERE::b1::p121,escaleras mecánicas,"12.1. Places, people and activities --- Mechanical stairs", Mechanical stairs
2019,p121b1,haber precios especiales,"12.1. Lugares, personas y actividades",CERE::b1::p121,a haber precios especiales,"12.1. Places, people and activities --- There are special prices", There are special prices
2020,p121b1,tener precios especiales,"12.1. Lugares, personas y actividades",CERE::b1::p121,a tener precios especiales,"12.1. Places, people and activities --- to have special prices", to have special prices
2021,p121b1,garantía,"12.1. Lugares, personas y actividades",CERE::b1::p121,garantía,"12.1. Places, people and activities --- guarantee", guarantee
2022,p121b1,salida de emergencia,"12.1. Lugares, personas y actividades",CERE::b1::p121,salida de emergencia,"12.1. Places, people and activities --- emergency exit", emergency exit
2023,p121b1,tener garantía,"12.1. Lugares, personas y actividades",CERE::b1::p121,a tener garantía,"12.1. Places, people and activities --- to have guarantee", to have guarantee
2024,p122b1,traje de noche,"12.2. Ropa, calzado y complementos",CERE::b1::p122,traje de noche,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Night suit", Night suit
2025,p122b1,vestido de fiesta,"12.2. Ropa, calzado y complementos",CERE::b1::p122,vestido de fiesta,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Party dress", Party dress
2026,p122b1,zapatillas de deporte,"12.2. Ropa, calzado y complementos",CERE::b1::p122,zapatillas de deporte,"12.2. Clothing, Footwear and Complements --- Sneakers", Sneakers
2027,p122b1,zapatos de tacón,"12.2. Ropa, calzado y complementos",CERE::b1::p122,zapatos de tacón,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Heel shoes", Heel shoes
2028,p122b1,ropa de deporte,"12.2. Ropa, calzado y complementos",CERE::b1::p122,ropa de deporte,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- SPORTS CLOTHING", SPORTS CLOTHING
2029,p122b1,coser,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a coser,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- To sew", To sew
2030,p122b1,traje de novia,"12.2. Ropa, calzado y complementos",CERE::b1::p122,traje de novia,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Wedding suit", Wedding suit
2031,p122b1,ropa de invierno,"12.2. Ropa, calzado y complementos",CERE::b1::p122,ropa de invierno,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Winter clothes", Winter clothes
2032,p122b1,ropa de verano,"12.2. Ropa, calzado y complementos",CERE::b1::p122,ropa de verano,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Summer clothes", Summer clothes
2033,p122b1,ropa interior,"12.2. Ropa, calzado y complementos",CERE::b1::p122,ropa interior,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- underwear", underwear
2034,p122b1,zapatos planos,"12.2. Ropa, calzado y complementos",CERE::b1::p122,zapatos planos,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Flat shoes", Flat shoes
2035,p122b1,minifalda,"12.2. Ropa, calzado y complementos",CERE::b1::p122,minifalda,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- MINIFALDA", MINIFALDA
2036,p122b1,lana,"12.2. Ropa, calzado y complementos",CERE::b1::p122,lana,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- LANA", LANA
2037,p122b1,falda larga,"12.2. Ropa, calzado y complementos",CERE::b1::p122,falda larga,"12.2. Clothing, Footwear and Complements --- Long Skirt", Long Skirt
2038,p122b1,algodón,"12.2. Ropa, calzado y complementos",CERE::b1::p122,algodón,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Cotton", Cotton
2039,p122b1,lino,"12.2. Ropa, calzado y complementos",CERE::b1::p122,lino,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- LINO", LINO
2040,p122b1,quedar corto,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar corto,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- to fall short", to fall short
2041,p122b1,quedar largo,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar largo,"12.2. CLOTHING, FOOD AND COMPLEMENTS --- to be long", to be long
2042,p122b1,quedar pequeño,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar pequeño,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- TO BE SMALLY", TO BE SMALLY
2043,p122b1,quedar grande,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar grande,"12.2. CLOTHING, FOOD AND COMPLEMENTS --- TO BE GREAT", TO BE GREAT
2044,p122b1,liso,"12.2. Ropa, calzado y complementos",CERE::b1::p122,liso,"12.2. CLOTHING, FOOD AND COMPLEMENTS --- Smooth", Smooth
2045,p122b1,de cuadros,"12.2. Ropa, calzado y complementos",CERE::b1::p122,de cuadros,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- OF PICTURES", OF PICTURES
2046,p122b1,quedar bien,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar bien,"12.2. CLOTHING, FOOD AND COMPLEMENTS --- To look good", To look good
2047,p122b1,quedar mal,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar mal,"12.2. CLOTHING, FOOD AND COMPLEMENTS --- To look bad", To look bad
2048,p122b1,quedar ancho,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar ancho,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- TO BE WIDE", TO BE WIDE
2049,p122b1,quedar estrecho,"12.2. Ropa, calzado y complementos",CERE::b1::p122,a quedar estrecho,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- TO BE HARD", TO BE HARD
2050,p122b1,falda corta,"12.2. Ropa, calzado y complementos",CERE::b1::p122,falda corta,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- Short skirt", Short skirt
2051,p122b1,de rayas,"12.2. Ropa, calzado y complementos",CERE::b1::p122,de rayas,"12.2. CLOTHING, FOOTWEAR AND COMPLEMENTS --- of stripes", of stripes
2052,p123b1,estar caducado,12.3. Alimentación,CERE::b1::p123,a estar caducado,12.3. Food --- To be expired, To be expired
2053,p123b1,loncha de jamón,12.3. Alimentación,CERE::b1::p123,loncha de jamón,12.3. Food --- Ham showers, Ham showers
2054,p123b1,(sección de) bebidas,12.3. Alimentación,CERE::b1::p123,(sección de) bebidas,12.3. Food --- (section of) drinks, (section of) drinks
2055,p123b1,carro (de la compra),12.3. Alimentación,CERE::b1::p123,carro (de la compra),12.3. Food --- car (purchase), car (purchase)
2056,p123b1,(sección de) lácteos,12.3. Alimentación,CERE::b1::p123,(sección de) lácteos,12.3. Food --- (section of) dairy, (section of) dairy
2057,p123b1,(sección de) congelados,12.3. Alimentación,CERE::b1::p123,(sección de) congelados,12.3. FOOD --- (section of) frozen, (section of) frozen
2058,p123b1,bolsa (de la compra),12.3. Alimentación,CERE::b1::p123,bolsa (de la compra),12.3. Food --- Bag (purchase), Bag (purchase)
2059,p123b1,cesta (de la compra),12.3. Alimentación,CERE::b1::p123,cesta (de la compra),12.3. Food --- basket (purchase), basket (purchase)
2060,p123b1,carrito (de la compra),12.3. Alimentación,CERE::b1::p123,carrito (de la compra),12.3. Food --- Cart (purchase), Cart (purchase)
2061,p123b1,estar de promoción,12.3. Alimentación,CERE::b1::p123,a estar de promoción,12.3. Food --- To be promoted, To be promoted
2062,p123b1,tener de oferta,12.3. Alimentación,CERE::b1::p123,a tener de oferta,12.3. Food --- To have an offer, To have an offer
2063,p123b1,trozo de tarta,12.3. Alimentación,CERE::b1::p123,trozo de tarta,12.3. Food --- Cake piece, Cake piece
2064,p123b1,loncha de queso,12.3. Alimentación,CERE::b1::p123,loncha de queso,12.3. Food --- Cheese showers, Cheese showers
2065,p123b1,estar malo,12.3. Alimentación,CERE::b1::p123,a estar malo,12.3. Food --- To be bad, To be bad
2066,p123b1,trozo de pan,12.3. Alimentación,CERE::b1::p123,trozo de pan,12.3. Food --- piece of bread, piece of bread
2067,p124b1,cobrar intereses,12.4. Pagos,CERE::b1::p124,a cobrar intereses,12.4. Payments --- To collect interest, To collect interest
2068,p124b1,pagar intereses,12.4. Pagos,CERE::b1::p124,a pagar intereses,12.4. Payments --- To pay interest, To pay interest
2069,p124b1,vuelta,12.4. Pagos,CERE::b1::p124,vuelta,12.4. Payments --- Return, Return
2070,p124b1,cambio,12.4. Pagos,CERE::b1::p124,cambio,12.4. Payments --- change, change
2071,p124b1,pasar por (la) caja,12.4. Pagos,CERE::b1::p124,a pasar por (la) caja,12.4. Payments --- To go through (La) box, To go through (La) box
2072,p131b1,curar a un enfermo,13.1. Salud y enfermedades,CERE::b1::p131,a curar a un enfermo,13.1. Health and diseases --- To cure a patient, To cure a patient
2073,p131b1,seguro privado,13.1. Salud y enfermedades,CERE::b1::p131,seguro privado,13.1. Health and disease --- private insurance, private insurance
2074,p131b1,tener cáncer,13.1. Salud y enfermedades,CERE::b1::p131,a tener cáncer,13.1. Health and diseases --- To have cancer, To have cancer
2075,p131b1,tener sida,13.1. Salud y enfermedades,CERE::b1::p131,a tener sida,13.1. Health and diseases --- To have AIDS, To have AIDS
2076,p131b1,ponerse enfermo,13.1. Salud y enfermedades,CERE::b1::p131,a ponerse enfermo,13.1. Health and diseases --- To get sick, To get sick
2077,p131b1,ponerse bien,13.1. Salud y enfermedades,CERE::b1::p131,a ponerse bien,13.1. Health and diseases --- To get good, To get good
2078,p131b1,tener buena salud,13.1. Salud y enfermedades,CERE::b1::p131,a tener buena salud,13.1. Health and diseases --- To have good health, To have good health
2079,p131b1,tener mala salud,13.1. Salud y enfermedades,CERE::b1::p131,a tener mala salud,13.1. Health and diseases --- To have poor health, To have poor health
2080,p131b1,cuidar a un enfermo,13.1. Salud y enfermedades,CERE::b1::p131,a cuidar a un enfermo,13.1. Health and diseases --- To take care of a patient, To take care of a patient
2081,p131b1,hacer (un) régimen,13.1. Salud y enfermedades,CERE::b1::p131,a hacer (un) régimen,13.1. Health and diseases --- To make (a) regime, To make (a) regime
2082,p131b1,estar sano,13.1. Salud y enfermedades,CERE::b1::p131,a estar sano,13.1. Health and diseases --- To be healthy, To be healthy
2083,p131b1,estar de baja,13.1. Salud y enfermedades,CERE::b1::p131,a estar de baja,13.1. Health and diseases --- To be low, To be low
2084,p131b1,ponerse malo,13.1. Salud y enfermedades,CERE::b1::p131,a ponerse malo,13.1. Health and diseases --- To get bad, To get bad
2085,p131b1,seguro público,13.1. Salud y enfermedades,CERE::b1::p131,seguro público,13.1. Health and diseases --- Public Insurance, Public Insurance
2086,p131b1,tener diarrea,13.1. Salud y enfermedades,CERE::b1::p131,a tener diarrea,13.1. Health and diseases --- To have diarrhea, To have diarrhea
2087,p131b1,seguro médico,13.1. Salud y enfermedades,CERE::b1::p131,seguro médico,13.1. Health and diseases --- Medical Insurance, Medical Insurance
2088,p131b1,seguro de enfermedad,13.1. Salud y enfermedades,CERE::b1::p131,seguro de enfermedad,13.1. Health and disease --- Disease insurance, Disease insurance
2089,p132b1,quemadura,13.2. Heridas y traumatismos,CERE::b1::p132,quemadura,13.2. Wounds and trauma --- burn, burn
2090,p132b1,caer(se),13.2. Heridas y traumatismos,CERE::b1::p132,a caerse,13.2. Wounds and trauma --- to fall, to fall
2091,p132b1,dar(se) un golpe,13.2. Heridas y traumatismos,CERE::b1::p132,a darse un golpe,13.2. Wounds and trauma --- To hit, To hit
2092,p132b1,quemar(se) un dedo,13.2. Heridas y traumatismos,CERE::b1::p132,a quemarse un dedo,13.2. Wounds and trauma --- to burn a finger, to burn a finger
2093,p132b1,romperse un brazo,13.2. Heridas y traumatismos,CERE::b1::p132,a romperse un brazo,13.2. Wounds and trauma --- To break an arm, To break an arm
2094,p132b1,adelgazar,13.2. Heridas y traumatismos,CERE::b1::p132,a adelgazar,13.2. Wounds and trauma --- to lose weight, to lose weight
2095,p132b1,engordar,13.2. Heridas y traumatismos,CERE::b1::p132,a engordar,13.2. Wounds and trauma --- to gain weight, to gain weight
2096,p132b1,cortar(se) una mano,13.2. Heridas y traumatismos,CERE::b1::p132,a cortarse una mano,13.2. Wounds and trauma --- to cut a hand, to cut a hand
2097,p132b1,hacerse una herida,13.2. Heridas y traumatismos,CERE::b1::p132,a hacerse una herida,13.2. Wounds and trauma --- To get a wound, To get a wound
2098,p132b1,romperse una pierna,13.2. Heridas y traumatismos,CERE::b1::p132,a romperse una pierna,13.2. Wounds and trauma --- To break a leg, To break a leg
2099,p132b1,corte,13.2. Heridas y traumatismos,CERE::b1::p132,corte,13.2. Wounds and trauma --- cut, cut
2100,p132b1,herida,13.2. Heridas y traumatismos,CERE::b1::p132,herida,13.2. Wounds and trauma --- wounded, wounded
2101,p133b1,estar agotado,13.3. Síntomas,CERE::b1::p133,a estar agotado,13.3. Symptoms --- To be exhausted, To be exhausted
2102,p133b1,estar estresado,13.3. Síntomas,CERE::b1::p133,a estar estresado,13.3. Symptoms --- To be stressed, To be stressed
2103,p133b1,estar resfriado,13.3. Síntomas,CERE::b1::p133,a estar resfriado,13.3. Symptoms --- To be cold, To be cold
2104,p133b1,estar mareado,13.3. Síntomas,CERE::b1::p133,a estar mareado,13.3. Symptoms --- To be dizzy, To be dizzy
2105,p134b1,psicólogo,13.4. Centros de asistencia sanitaria,CERE::b1::p134,psicólogo,13.4. Health Assistance Centers --- Psychologist, Psychologist
2106,p134b1,cirujano,13.4. Centros de asistencia sanitaria,CERE::b1::p134,cirujano,13.4. Health Assistance Centers --- Surgeon, Surgeon
2107,p134b1,clínica,13.4. Centros de asistencia sanitaria,CERE::b1::p134,clínica,13.4. Health Assistance Centers --- Clinic, Clinic
2108,p134b1,doctor,13.4. Centros de asistencia sanitaria,CERE::b1::p134,doctor,13.4. Health Assistance Centers --- Doctor, Doctor
2109,p134b1,centro de salud,13.4. Centros de asistencia sanitaria,CERE::b1::p134,centro de salud,13.4. Health Assistance Centers --- Health Center, Health Center
2110,p134b1,enfermo,13.4. Centros de asistencia sanitaria,CERE::b1::p134,enfermo,13.4. Health Assistance Centers --- Sick, Sick
2111,p134b1,paciente,13.4. Centros de asistencia sanitaria,CERE::b1::p134,paciente,13.4. Health care centers --- patient, patient
2112,p134b1,médico de guardia,13.4. Centros de asistencia sanitaria,CERE::b1::p134,médico de guardia,13.4. Health Assistance Centers --- Doctor of Guard, Doctor of Guard
2113,p134b1,oculista,13.4. Centros de asistencia sanitaria,CERE::b1::p134,oculista,13.4. Health Assistance Centers --- Oculista, Oculista
2114,p134b1,farmacia de guardia,13.4. Centros de asistencia sanitaria,CERE::b1::p134,farmacia de guardia,13.4. Health Assistance Centers --- Guard Pharmacy, Guard Pharmacy
2115,p134b1,dentista,13.4. Centros de asistencia sanitaria,CERE::b1::p134,dentista,13.4. Health Assistance Centers --- Dentist, Dentist
2116,p134b1,dar la baja (médica),13.4. Centros de asistencia sanitaria,CERE::b1::p134,a dar la baja (médica),13.4. Health Assistance Centers --- To unsubscribe (Medical), To unsubscribe (Medical)
2117,p134b1,dar el alta (médica),13.4. Centros de asistencia sanitaria,CERE::b1::p134,a dar el alta (médica),13.4. Health Assistance Centers --- To register (Medical), To register (Medical)
2118,p134b1,dar de baja,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a dar de baja,13.4. Health Assistance Centers --- To unsubscribe, To unsubscribe
2119,p134b1,dar de alta,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a dar de alta,13.4. Health Assistance Centers --- To register, To register
2120,p134b1,ingresar en urgencias,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a ingresar en urgencias,13.4. Health Assistance Centers --- to enter the Emergency, to enter the Emergency
2121,p134b1,ingresar en un hospital,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a ingresar en un hospital,13.4. Health Assistance Centers --- To enter a hospital, To enter a hospital
2122,p134b1,un análisis de orina,13.4. Centros de asistencia sanitaria,CERE::b1::p134,un análisis de orina,13.4. Health Assistance Centers --- A urine analysis, A urine analysis
2123,p134b1,un control de orina,13.4. Centros de asistencia sanitaria,CERE::b1::p134,un control de orina,13.4. Health Assistance Centers --- A urine control, A urine control
2124,p134b1,hacerse unas pruebas de sangre,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a hacerse unas pruebas de sangre,13.4. Health Assistance Centers --- To have blood tests, To have blood tests
2125,p134b1,hacerse una revisión,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a hacerse una revisión,13.4. Health Assistance Centers --- To have a review, To have a review
2126,p134b1,análisis de orina,13.4. Centros de asistencia sanitaria,CERE::b1::p134,análisis de orina,13.4. Health Assistance Centers --- Urine Analysis, Urine Analysis
2127,p134b1,análisis de sangre,13.4. Centros de asistencia sanitaria,CERE::b1::p134,análisis de sangre,13.4. Health Assistance Centers --- Blood Analysis, Blood Analysis
2128,p134b1,pedir hora,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a pedir hora,13.4. Health Assistance Centers --- To ask for time, To ask for time
2129,p134b1,ginecólogo,13.4. Centros de asistencia sanitaria,CERE::b1::p134,ginecólogo,13.4. Health Assistance Centers --- Gynecologist, Gynecologist
2130,p134b1,hospital de guardia,13.4. Centros de asistencia sanitaria,CERE::b1::p134,hospital de guardia,13.4. Health Assistance Centers --- Hospital on Guard, Hospital on Guard
2131,p134b1,pedir cita,13.4. Centros de asistencia sanitaria,CERE::b1::p134,a pedir cita,13.4. Health Assistance Centers --- To make an appointment, To make an appointment
2132,p135b1,agua oxigenada,13.5. Medicina y medicamentos,CERE::b1::p135,agua oxigenada,13.5. Medicine and Medicines --- Oxygenated Hair, Oxygenated Hair
2133,p135b1,ponerse el termómetro,13.5. Medicina y medicamentos,CERE::b1::p135,a ponerse el termómetro,13.5. Medicine and medications --- To put on the thermometer, To put on the thermometer
2134,p135b1,tirita,13.5. Medicina y medicamentos,CERE::b1::p135,tirita,13.5. Medicine and medications --- Shit, Shit
2135,p135b1,algodón,13.5. Medicina y medicamentos,CERE::b1::p135,algodón,13.5. Medicine and medications --- cotton, cotton
2136,p135b1,termómetro,13.5. Medicina y medicamentos,CERE::b1::p135,termómetro,13.5. Medicine and Medicines --- Thermometer, Thermometer
2137,p135b1,aspirina,13.5. Medicina y medicamentos,CERE::b1::p135,aspirina,13.5. Medicine and medications --- aspirin, aspirin
2138,p135b1,gotas,13.5. Medicina y medicamentos,CERE::b1::p135,gotas,13.5. Medicine and Medicines --- Drops, Drops
2139,p135b1,vacuna,13.5. Medicina y medicamentos,CERE::b1::p135,vacuna,13.5. Medicine and Medicines --- Vaccine, Vaccine
2140,p135b1,pastilla,13.5. Medicina y medicamentos,CERE::b1::p135,pastilla,13.5. Medicine and Medicines --- Pill, Pill
2141,p135b1,darse una crema,13.5. Medicina y medicamentos,CERE::b1::p135,a darse una crema,13.5. Medicine and medications --- To give a cream, To give a cream
2142,p135b1,echarse unas gotas,13.5. Medicina y medicamentos,CERE::b1::p135,a echarse unas gotas,13.5. Medicine and medications --- To throw a few drops, To throw a few drops
2143,p135b1,ponerse una vacuna,13.5. Medicina y medicamentos,CERE::b1::p135,a ponerse una vacuna,13.5. Medicine and medications --- To put on a vaccine, To put on a vaccine
2144,p135b1,alcohol,13.5. Medicina y medicamentos,CERE::b1::p135,alcohol,13.5. Medicine and Medicines --- Alcohol, Alcohol
2145,p135b1,antibiótico,13.5. Medicina y medicamentos,CERE::b1::p135,antibiótico,13.5. Medicine and medications --- antibiotic, antibiotic
2146,p135b1,dar una receta (médica),13.5. Medicina y medicamentos,CERE::b1::p135,a dar una receta (médica),13.5. Medicine and medications --- To give a recipe (medical), To give a recipe (medical)
2147,p135b1,hacer una receta (médica),13.5. Medicina y medicamentos,CERE::b1::p135,a hacer una receta (médica),13.5. Medicine and medications --- To make a recipe (medical), To make a recipe (medical)
2148,p136b1,cepillo,13.6. Higiene,CERE::b1::p136,cepillo,13.6. Hygiene --- brush, brush
2149,p136b1,secador de pelo,13.6. Higiene,CERE::b1::p136,secador de pelo,13.6. Hygiene --- Hair dryer, Hair dryer
2150,p136b1,zapatillas,13.6. Higiene,CERE::b1::p136,zapatillas,13.6. Hygiene --- Sneakers, Sneakers
2151,p136b1,gorro de ducha,13.6. Higiene,CERE::b1::p136,gorro de ducha,13.6. Hygiene --- Shower hat, Shower hat
2152,p136b1,gorro de baño,13.6. Higiene,CERE::b1::p136,gorro de baño,13.6. Hygiene --- bathroom, bathroom
2153,p136b1,espuma de afeitar,13.6. Higiene,CERE::b1::p136,espuma de afeitar,13.6. Hygiene --- Affection foam, Affection foam
2154,p136b1,gel de afeitar,13.6. Higiene,CERE::b1::p136,gel de afeitar,13.6. Hygiene --- Affection gel, Affection gel
2155,p136b1,maquinilla de afeitar,13.6. Higiene,CERE::b1::p136,maquinilla de afeitar,13.6. Hygiene --- Affair machin, Affair machin
2156,p136b1,cuchilla de afeitar,13.6. Higiene,CERE::b1::p136,cuchilla de afeitar,13.6. Hygiene --- Affair blade, Affair blade
2157,p136b1,pastilla de jabón,13.6. Higiene,CERE::b1::p136,pastilla de jabón,13.6. Hygiene --- soap pill, soap pill
2158,p136b1,peine,13.6. Higiene,CERE::b1::p136,peine,13.6. Hygiene --- comb, comb
2159,p136b1,perfume,13.6. Higiene,CERE::b1::p136,perfume,13.6. Hygiene --- perfume, perfume
2160,p137b1,barra de labios,13.7. Estética,CERE::b1::p137,barra de labios,13.7. Aesthetics --- Lipbar, Lipbar
2161,p137b1,cortarse el pelo,13.7. Estética,CERE::b1::p137,a cortarse el pelo,13.7. Aesthetics --- To cut your hair, To cut your hair
2162,p137b1,tener la piel suave,13.7. Estética,CERE::b1::p137,a tener la piel suave,13.7. Aesthetics --- To have soft skin, To have soft skin
2163,p137b1,tener las manos suave,13.7. Estética,CERE::b1::p137,a tener las manos suave,13.7. Aesthetics --- To have soft hands, To have soft hands
2164,p137b1,pintarse los ojos,13.7. Estética,CERE::b1::p137,a pintarse los ojos,13.7. Aesthetics --- To paint your eyes, To paint your eyes
2165,p137b1,peinado,13.7. Estética,CERE::b1::p137,peinado,13.7. Aesthetics --- hairstyle, hairstyle
2166,p137b1,pintarse los labios,13.7. Estética,CERE::b1::p137,a pintarse los labios,13.7. Aesthetics --- To paint your lips, To paint your lips
2167,p137b1,corte de pelo,13.7. Estética,CERE::b1::p137,corte de pelo,13.7. Aesthetics --- Haircut, Haircut
2168,p141b1,perder las maletas,14.1. Viajes,CERE::b1::p141,a perder las maletas,14.1. TRAVEL --- LOS, LOS
2169,p141b1,facturar el equipaje,14.1. Viajes,CERE::b1::p141,a facturar el equipaje,14.1. TRAVEL --- To invoice luggage, To invoice luggage
2170,p141b1,cambiar un billete,14.1. Viajes,CERE::b1::p141,a cambiar un billete,14.1. Travel --- To change a ticket, To change a ticket
2171,p141b1,anular un billete,14.1. Viajes,CERE::b1::p141,a anular un billete,14.1. Travel --- To cancel a ticket, To cancel a ticket
2172,p141b1,callejero,14.1. Viajes,CERE::b1::p141,callejero,14.1. Travel --- Street, Street
2173,p141b1,plano turístico,14.1. Viajes,CERE::b1::p141,plano turístico,14.1. TRAVEL --- Tourist plan, Tourist plan
2174,p141b1,mapa de carreteras,14.1. Viajes,CERE::b1::p141,mapa de carreteras,14.1. Travel --- Road Map, Road Map
2175,p141b1,exceso de equipaje,14.1. Viajes,CERE::b1::p141,exceso de equipaje,14.1. Travel --- excess luggage, excess luggage
2176,p141b1,bolsa de aseo,14.1. Viajes,CERE::b1::p141,bolsa de aseo,14.1. Travel --- toilet bag, toilet bag
2177,p141b1,equipaje,14.1. Viajes,CERE::b1::p141,equipaje,14.1. Travel --- luggage, luggage
2178,p141b1,bolsa de viaje,14.1. Viajes,CERE::b1::p141,bolsa de viaje,14.1. Travel --- Travel bag, Travel bag
2179,p141b1,DNI (Documento Nacional de Identidad),14.1. Viajes,CERE::b1::p141,DNI (Documento Nacional de Identidad),14.1. Trips --- DNI (National Identity Document), DNI (National Identity Document)
2180,p141b1,visado,14.1. Viajes,CERE::b1::p141,visado,14.1. Travel --- Visa, Visa
2181,p141b1,cheques de viaje,14.1. Viajes,CERE::b1::p141,cheques de viaje,14.1. Travel --- Travel checks, Travel checks
2182,p142b1,ir de camping,14.2. Alojamiento,CERE::b1::p142,a ir de camping,14.2. Accommodation --- To go from Camping, To go from Camping
